Country_of_Origin,Corrected_Usage_18,Normalised_Usage_2018,Samples_Test_19,Samples_Pos_2019,Foodborne_Carriage_2019,Isolates_Test,Isolates_TetRes,Prop_Tet_Res,Isolates_Amp_Res,Prop_Amp_Res,tet_anti_usage,amp_anti_usage
UK Origin,65.6,-,3785,65,1.717305152,9,3,0.333333333,1,0.111111111,1.201371951,1.287957317
Netherlands,5.648588303,0.1642031,383,22,5.744125326,23,8,0.347826087,6,0.260869565,6.626804124,10.89406435
Irish Republic,4.664851681,0.1356062,383,16,4.177545692,62,16,0.258064516,42,0.677419355,1.468721,2.443417
Germany,4.662971285,0.1355515,27269,745,2.732040045,15,4,0.266666667,8,0.533333333,15.208828,9.674384
France,4.628968277,0.134563,14409,3276,22.73579013,204,120,0.588235294,90,0.441176471,2.284508,6.422006
Spain,3.579628674,0.104059,1383,243,17.57049892,166,112,0.674698795,98,0.590361446,35.14924348,31.87478703
Italy,3.033596038,0.08818593,6186,235,3.798900744,197,108,0.54822335,93,0.472081218,14.535114,15.360251
Belgium,2.61453882,0.07600404,1049,65,6.196377502,103,45,0.436893204,58,0.563106796,21.300696,14.382947
Poland,1.888214232,0.05488995,4189,26,0.620673192,20,8,0.4,9,0.45,17.340809,14.859063
Denmark,1.278642691,0.03716985,10743,669,6.227310807,125,57,0.456,57,0.456,8.473437,4.863016
