Country,N_2014,N_2016,N_2017,N_2018,PosIsol_2014,PosIsol_2016,PosIsol_2017,PosIsol_2018,PropRes_2014,PropRes_2016,PropRes_2017,PropRes_2018,scale_ampusage_2014,scale_ampusage_2016,scale_ampusage_2017,scale_ampusage_2018
Austria,113,179,,170,2,3,,4,0.018,0.017,,0.023529412,0.685933544,0.702194357,0.721174004,0.784221526
Belgium,167,123,170,173,48,42,56,68,0.287,0.341,0.329411765,0.393063584,5.317295113,6.894227405,7.279382056,6.007888631
Bulgaria,17,3,,5,8,0,,0,0.471,0,,0,1.233585751,4.424936387,2.735466667,2.873
Croatia,126,125,,84,9,3,,14,0.071,0.024,,0.166666667,3.415794872,3.986013986,2.938175676,2.369283276
Cyprus,45,24,,35,16,3,,8,0.356,0.125,,0.228571429,4.390654206,9.635294118,9.853271028,9.382608696
Czech Republic,212,91,120,116,16,13,24,4,0.075,0.143,0.2,0.034482759,3.135896159,2.864255319,3.22034632,3.170496454
Denmark,26,20,21,31,8,1,4,9,0.308,0.05,0.19047619,0.290322581,0.561513872,0.569256198,0.655045872,0.582754393
Estonia ,,,1,,,,1,,,,1,,2.956111111,0.566371681,0.586486486,0.481578947
Finland,,1,3,,,0,0,,,0,0,,1.331691159,1.17696737,1.336489152,1.468410463
France,36,29,,165,1,4,,11,0.028,0.138,,0.066666667,2.062064326,1.602967941,1.486361699,1.42971718
Germany,28,24,,28,1,5,,3,0.028,0.208,,0.107142857,7.018140953,4.340897641,4.215820653,4.297969007
Greece,20,27,21,24,1,0,1,0,0.05,0,0.047619048,0,,1.393958665,1.930329847,1.65192926
Hungary,169,170,,170,9,17,,51,0.053,0.1,,0.3,8.392785366,11.36658654,11.50843061,11.76778846
Ireland,16,14,,22,2,1,,1,0.125,0.071,,0.045454545,0.365581994,0.486754967,0.440491958,0.498132586
Italy,66,25,116,121,29,12,55,51,0.436,0.48,0.474137931,0.421487603,20.51945823,13.13362488,13.35408903,12.84414768
Latvia,,,,2,,,,0,,,,0,1.100363584,0.928888889,1.014204545,1.131736527
Luxembourg,,,3,1,,,0,0,,,0,0,0,0.012,0.012363636,0.010909091
Malta,60,80,,65,24,34,,32,0.4,0.425,,0.492307692,,,0.026666667,1.128571429
Netherlands,88,,,7,35,,,2,0.398,,,0.285714286,2.082545455,1.270458503,1.421789883,1.628865979
Poland,85,84,,95,19,9,,13,0.224,0.107,,0.136842105,10.14479591,10.54281824,15.60187266,16.26586775
Portugal,51,51,52,66,8,12,10,7,0.157,0.235,0.192307692,0.106060606,7.240050955,10.04536489,7.846706587,8.805447471
Romania,554,170,,170,129,50,,29,0.233,0.294,,0.170588235,1.163403357,2.195218228,3.0021262,2.205882353
Slovakia,19,53,,61,2,11,,23,0.105,0.208,,0.37704918,1.823941935,2.01322314,2.584,2.160323887
Slovenia,85,85,75,129,7,17,15,29,0.082,0.2,0.2,0.224806202,3.324374269,3.707865169,5.067391304,6.617222222
Spain,135,169,159,170,54,51,36,22,0.4,0.302,0.226415094,0.129411765,9.656840356,10.25027933,6.24284227,7.599364272
Sweden,,170,,3,,6,,0,,0.035,,0,0.807070284,1.017391304,0.986442786,1.062579821
United Kingdom,168,1717,,171,6,294,,5,0.036,0.171,,0.029239766,1.749881909,1.514897788,1.234032213,1.196092018
Iceland ,16,3,,5,0,0,,5,0,0,,1,0.133362069,0.185,0.1584,0.186206897
Norway,,2,,,,0,,,,0,,,0.062498392,0.057383966,0.056743686,0.049792531
