Country,N_2014,N_2016,N_2017,N_2018,PosIsol_2014,PosIsol_2016,PosIsol_2017,PosIsol_2018,PropRes_2014,PropRes_2016,PropRes_2017,PropRes_2018
Austria,113,179,,170,2,3,,4,0.018,0.017,,0.023529412
Belgium,167,123,170,173,48,42,56,68,0.287,0.341,0.329411765,0.393063584
Bulgaria,17,3,,5,8,0,,0,0.471,0,,0
Croatia,126,125,,84,9,3,,14,0.071,0.024,,0.166666667
Cyprus,45,24,,35,16,3,,8,0.356,0.125,,0.228571429
Czech Republic,212,91,120,116,16,13,24,4,0.075,0.143,0.2,0.034482759
Denmark,26,20,21,31,8,1,4,9,0.308,0.05,0.19047619,0.290322581
Estonia ,,,1,,,,1,,,,1,
Finland,,1,3,,,0,0,,,0,0,
France,36,29,,165,1,4,,11,0.028,0.138,,0.066666667
Germany,28,24,,28,1,5,,3,0.028,0.208,,0.107142857
Greece,20,27,21,24,1,0,1,0,0.05,0,0.047619048,0
Hungary,169,170,,170,9,17,,51,0.053,0.1,,0.3
Ireland,16,14,,22,2,1,,1,0.125,0.071,,0.045454545
Italy,66,25,116,121,29,12,55,51,0.436,0.48,0.474137931,0.421487603
Latvia,,,,2,,,,0,,,,0
Luxembourg,,,3,1,,,0,0,,,0,0
Malta,60,80,,65,24,34,,32,0.4,0.425,,0.492307692
Netherlands,88,,,7,35,,,2,0.398,,,0.285714286
Poland,85,84,,95,19,9,,13,0.224,0.107,,0.136842105
Portugal,51,51,52,66,8,12,10,7,0.157,0.235,0.192307692,0.106060606
Romania,554,170,,170,129,50,,29,0.233,0.294,,0.170588235
Slovakia,19,53,,61,2,11,,23,0.105,0.208,,0.37704918
Slovenia,85,85,75,129,7,17,15,29,0.082,0.2,0.2,0.224806202
Spain,135,169,159,170,54,51,36,22,0.4,0.302,0.226415094,0.129411765
Sweden,,170,,3,,6,,0,,0.035,,0
United Kingdom,168,1717,,171,6,294,,5,0.036,0.171,,0.029239766
Iceland ,16,3,,5,0,0,,5,0,0,,1
Norway,,2,,,,0,,,,0,,
