Country,N_2014,N_2016,N_2017,N_2018,PosIsol_2014,PosIsol_2016,PosIsol_2017,PosIsol_2018,PropRes_2014,PropRes_2016,PropRes_2017,PropRes_2018,scale_tetusage_2014,scale_tetusage_2016,scale_tetusage_2017,scale_tetusage_2018
Austria,113,179,,170,57,96,,120,0.504,0.536312849,,0.705882353,2.542527004,2.140020899,2.188679245,2.220585162
Belgium,167,123,170,173,12,43,52,73,0.072,0.349593496,0.305882353,0.421965318,4.00523528,3.990670554,4.951158645,4.056728538
Bulgaria,17,3,,5,17,2,,1,1,0.666666667,,0.2,4.072647074,8.658524173,5.5936,5.395
Croatia,126,125,,84,14,19,,16,0.111,0.152,,0.19047619,7.190153846,4.504195804,3.122635135,2.6221843
Cyprus,45,24,,35,31,23,,32,0.689,0.958333333,,0.914285714,21.18490654,23.03039216,21.07943925,17.54434783
Czech Republic,212,91,120,116,43,11,15,11,0.203,0.120879121,0.125,0.094827586,4.763893314,3.837021277,3.4995671,2.900283688
Denmark,26,20,21,31,8,15,11,17,0.308,0.75,0.523809524,0.548387097,0.630623271,0.569256198,0.434862385,0.334450347
Estonia ,,,1,,0,,0,,,,0,,2.077777778,0.269026549,0.378378378,0.294736842
Finland,,1,3,,0,0,0,,,0,0,,0.676272692,0.546449136,0.683431953,0.742454728
France,36,29,,165,2,2,,14,0.056,0.068965517,,0.084848485,6.867867135,4.151686966,4.283278875,4.019093851
Germany,28,24,,28,7,9,,8,0.25,0.375,,0.285714286,5.080841628,2.857144493,2.822766872,2.733951632
Greece,20,27,21,24,3,0,0,5,0.15,0,0,0.208333333,,2.584419714,4.950362027,5.385289389
Hungary,169,170,,170,114,128,,80,0.675,0.752941176,,0.470588235,23.22851707,17.7921875,19.14785992,17.34074519
Ireland,16,14,,22,1,1,,0,0.063,0.071428571,,0,0.848463023,0.973509934,0.890066225,0.828711485
Italy,66,25,116,121,35,15,65,72,0.53,0.6,0.560344828,0.595041322,17.21601604,17.33418367,14.98773292,13.57329144
Latvia,,,,2,0,,,1,,,,0.5,1.076179769,0.812777778,0.990340909,1.182035928
Luxembourg,,,3,1,0,,0,0,,,0,0,0,0.024545455,0.024727273,0.023272727
Malta,60,80,,65,21,43,,13,0.35,0.5375,,0.2,,,0.026666667,5.571428571
Netherlands,88,,,7,27,,,5,0.307,,,0.714285714,3.1872,2.286825305,2.516342412,2.677756951
Poland,85,84,,95,18,25,,49,0.212,0.297619048,,0.515789474,10.83491808,11.92171545,13.81385768,13.93796276
Portugal,51,51,52,66,5,10,2,3,0.098,0.196078431,0.038461538,0.045454545,16.26882038,18.20315582,10.03752495,15.36731518
Romania,554,170,,170,347,71,,71,0.626,0.417647059,,0.417647059,2.320414388,3.663543004,4.140294925,4.411764706
Slovakia,19,53,,61,13,19,,29,0.684,0.358490566,,0.475409836,4.753303226,3.679338843,4.193333333,4.531983806
Slovenia,85,85,75,129,70,81,70,114,0.824,0.952941176,0.933333333,0.88372093,0.715463158,0.584269663,0.981521739,1.003333333
Spain,135,169,159,170,45,43,39,55,0.333,0.25443787,0.245283019,0.323529412,15.6645521,13.03471668,6.733732431,6.891417673
Sweden,,170,,3,0,33,,0,,0.194117647,,0,0.10945561,0.07826087,0.076865672,0.092975734
United Kingdom,168,1717,,171,34,689,,7,0.202,0.401281305,,0.040935673,10.65533623,2.610781294,2.171896695,2.03335643
Iceland ,16,3,,5,0,0,,0,0,0,,0,0.01412069,0.01,0.0144,0.015517241
Norway,,2,,,0,0,,,,0,,,0.002777706,0.003586498,0.00354648,0.003319502
