Country,N_2014,N_2016,N_2017,N_2018,PosIsol_2014,PosIsol_2016,PosIsol_2017,PosIsol_2018,PropRes_2014,PropRes_2016,PropRes_2017,PropRes_2018
Austria,113,179,,170,57,96,,120,0.504,0.536312849,,0.705882353
Belgium,167,123,170,173,12,43,52,73,0.072,0.349593496,0.305882353,0.421965318
Bulgaria,17,3,,5,17,2,,1,1,0.666666667,,0.2
Croatia,126,125,,84,14,19,,16,0.111,0.152,,0.19047619
Cyprus,45,24,,35,31,23,,32,0.689,0.958333333,,0.914285714
Czech Republic,212,91,120,116,43,11,15,11,0.203,0.120879121,0.125,0.094827586
Denmark,26,20,21,31,8,15,11,17,0.308,0.75,0.523809524,0.548387097
Estonia ,,,1,,0,,0,,,,0,
Finland,,1,3,,0,0,0,,,0,0,
France,36,29,,165,2,2,,14,0.056,0.068965517,,0.084848485
Germany,28,24,,28,7,9,,8,0.25,0.375,,0.285714286
Greece,20,27,21,24,3,0,0,5,0.15,0,0,0.208333333
Hungary,169,170,,170,114,128,,80,0.675,0.752941176,,0.470588235
Ireland,16,14,,22,1,1,,0,0.063,0.071428571,,0
Italy,66,25,116,121,35,15,65,72,0.53,0.6,0.560344828,0.595041322
Latvia,,,,2,0,,,1,,,,0.5
Luxembourg,,,3,1,0,,0,0,,,0,0
Malta,60,80,,65,21,43,,13,0.35,0.5375,,0.2
Netherlands,88,,,7,27,,,5,0.307,,,0.714285714
Poland,85,84,,95,18,25,,49,0.212,0.297619048,,0.515789474
Portugal,51,51,52,66,5,10,2,3,0.098,0.196078431,0.038461538,0.045454545
Romania,554,170,,170,347,71,,71,0.626,0.417647059,,0.417647059
Slovakia,19,53,,61,13,19,,29,0.684,0.358490566,,0.475409836
Slovenia,85,85,75,129,70,81,70,114,0.824,0.952941176,0.933333333,0.88372093
Spain,135,169,159,170,45,43,39,55,0.333,0.25443787,0.245283019,0.323529412
Sweden,,170,,3,0,33,,0,,0.194117647,,0
United Kingdom,168,1717,,171,34,689,,7,0.202,0.401281305,,0.040935673
Iceland ,16,3,,5,0,0,,0,0,0,,0
Norway,,2,,,0,0,,,,0,,
