Country,N_2015,N_2016,N_2017,N_2018,N_2019,PosIsol_2015,PosIsol_2016,PosIsol_2017,PosIsol_2018,PosIsol_2019,PropRes_2015,PropRes_2016,PropRes_2017,PropRes_2018,PropRes_2019,scale_tetusage_2015,scale_tetusage_2016,scale_tetusage_2017,scale_tetusage_2018,scale_tetusage_2019
Austria,,,,,5,,,,,5,,,,,1,10.82528736,9.870846395,9.958490566,10.14723093,
Belgium,183,92,98,,103,62,42,48,,45,0.339,0.456521739,0.489795918,,0.436893204,18.32111693,14.91428571,16.80998217,14.38294664,
Bulgaria,,,6,,4,,,2,,0,,,0.333333333,,0,11.56473684,15.29058524,10.2144,9.7525,
Croatia,31,22,25,,46,13,16,12,,21,0.419,0.727272727,0.48,,0.456521739,12.23868613,10.66783217,7.045945946,5.849488055,
Cyprus,4,,4,,2,0,,1,,0,,,0.25,,0,78.07222222,79.72058824,72.96728972,60.73043478,
Czech Republic,23,19,21,22,11,23,7,9,11,8,1,0.368421053,0.428571429,0.5,0.727272727,6.974498567,6.193617021,5.371428571,4.635886525,
Denmark,78,94,69,85,125,10,42,33,34,57,0.13,0.446808511,0.47826087,0.4,0.456,8.716853002,8.205619835,5.771809842,4.863015938,
Estonia ,10,8,9,11,9,3,2,0,1,0,0.308,0.25,0,0.090909091,0,5.707317073,5.111504425,4.666666667,3.929824561,
Finland,,,,1,5,,,,0,0,,,,0,0,1.367052023,1.242610365,1.366863905,1.285714286,
France,115,,206,,204,63,,131,,120,0.548,,0.63592233,,0.588235294,6.660892682,6.581058379,6.784713738,6.422006472,
Germany,51,,31,,15,32,,16,,4,0.627,,0.516129032,,0.266666667,12.03070196,10.15606824,10.05946103,9.674383658,
Greece,,,1,,2,,,1,,1,,,1,,0.5,2.450315457,2.342130366,4.297988737,4.206028939,
Hungary,8,,19,,30,6,,5,,14,0.75,,0.263157895,,0.466666667,39.05654262,31.896875,30.93891051,29.27884615,
Ireland,,,54,,62,,,36,,35,,,0.666666667,,0.564516129,3.165539112,2.952623535,2.605298013,2.443417367,
Italy,,42,124,95,197,,16,56,57,108,,0.380952381,0.451612903,0.6,0.54822335,19.06983655,19.44642857,16.60085404,15.36025137,
Latvia,2,,1,4,6,2,,0,0,3,1,,0,0,0.5,2.422222222,1.582777778,1.886363636,2.251497006,
Malta,16,,2,,10,4,,1,,2,0.25,,0.5,,0.2,,,0.053333333,11.14285714,
Netherlands,,15,17,,23,,5,7,,8,,0.333333333,0.411764706,,0.347826087,13.51627486,9.681659896,10.78623167,10.89406435,
Poland,10,,24,,20,6,,8,,8,0.6,,0.333333333,,0.4,14.44664918,13.68266394,15.53399427,14.8590627,
Portugal,48,10,34,3,17,40,9,16,3,14,0.833,0.9,0.470588235,1,0.823529412,16.35466399,29.70424063,15.41477046,21.31595331,
Romania,23,,6,,3,8,,2,,0,0.348,,0.333333333,,0,3.542516608,4.472272144,4.105864198,4.340028694,
Slovakia,11,,19,,9,2,,3,,3,0.182,,0.157894737,,0.333333333,3.719512195,3.613636364,3.782222222,5.000809717,
Slovenia,,,,,4,,,,,1,,,,,0.25,0.285549133,0.27752809,0.420652174,0.42,
Spain,128,,180,,166,94,,153,,112,0.734,,0.85,,0.674698795,67.15642002,58.42178771,32.04271213,31.87478703,
Sweden,,,,,1,,,,,1,,,,,1,0.198019802,0.14757764,0.15,0.177011494,
United Kingdom,9,,4,,9,3,,2,,3,0.333,,0.5,,0.333333333,2.63266772,1.78966676,1.403943349,1.287957317,
Iceland ,7,,6,,10,2,,0,,4,0.286,,0,,0.4,0.020689655,0.01,0.0144,0.015517241,
Republic of Macedonia,,,,1,,,,,1,,,,,1,,,,,,
