Country,N_2015,N_2016,N_2017,N_2018,N_2019,PosIsol_2015,PosIsol_2016,PosIsol_2017,PosIsol_2018,PosIsol_2019,PropRes_2015,PropRes_2016,PropRes_2017,PropRes_2018,PropRes_2019
Austria,,,,,5,,,,,5,,,,,1
Belgium,183,92,98,,103,62,42,48,,45,0.339,0.456521739,0.489795918,,0.436893204
Bulgaria,,,6,,4,,,2,,0,,,0.333333333,,0
Croatia,31,22,25,,46,13,16,12,,21,0.419,0.727272727,0.48,,0.456521739
Cyprus,4,,4,,2,0,,1,,0,,,0.25,,0
Czech Republic,23,19,21,22,11,23,7,9,11,8,1,0.368421053,0.428571429,0.5,0.727272727
Denmark,78,94,69,85,125,10,42,33,34,57,0.13,0.446808511,0.47826087,0.4,0.456
Estonia ,10,8,9,11,9,3,2,0,1,0,0.308,0.25,0,0.090909091,0
Finland,,,,1,5,,,,0,0,,,,0,0
France,115,,206,,204,63,,131,,120,0.548,,0.63592233,,0.588235294
Germany,51,,31,,15,32,,16,,4,0.627,,0.516129032,,0.266666667
Greece,,,1,,2,,,1,,1,,,1,,0.5
Hungary,8,,19,,30,6,,5,,14,0.75,,0.263157895,,0.466666667
Ireland,,,54,,62,,,36,,35,,,0.666666667,,0.564516129
Italy,,42,124,95,197,,16,56,57,108,,0.380952381,0.451612903,0.6,0.54822335
Latvia,2,,1,4,6,2,,0,0,3,1,,0,0,0.5
Malta,16,,2,,10,4,,1,,2,0.25,,0.5,,0.2
Netherlands,,15,17,,23,,5,7,,8,,0.333333333,0.411764706,,0.347826087
Poland,10,,24,,20,6,,8,,8,0.6,,0.333333333,,0.4
Portugal,48,10,34,3,17,40,9,16,3,14,0.833,0.9,0.470588235,1,0.823529412
Romania,23,,6,,3,8,,2,,0,0.348,,0.333333333,,0
Slovakia,11,,19,,9,2,,3,,3,0.182,,0.157894737,,0.333333333
Slovenia,,,,,4,,,,,1,,,,,0.25
Spain,128,,180,,166,94,,153,,112,0.734,,0.85,,0.674698795
Sweden,,,,,1,,,,,1,,,,,1
United Kingdom,9,,4,,9,3,,2,,3,0.333,,0.5,,0.333333333
Iceland ,7,,6,,10,2,,0,,4,0.286,,0,,0.4
Republic of Macedonia,,,,1,,,,,1,,,,,1,
