Country,ampusage_2014,ampusage_2016,ampusage_2017,ampusage_2018,tetusage_2014,tetusage_2016,tetusage_2017,tetusage_2018,total_PCU_2014,total_PCU_2016,total_PCU_2017,total_PCU_2018,broil_PCU_2014,broil_PCU_2016,broil_PCU_2017,broil_PCU_2018,scale_factor_broil_2014,scale_factor_broil_2016,scale_factor_broil_2017,scale_factor_broil_2018,scale_ampusage_2014,scale_ampusage_2016,scale_ampusage_2017,scale_ampusage_2018,scale_tetusage_2014,scale_tetusage_2016,scale_tetusage_2017,scale_tetusage_2018
Austria,8.445,8.4,8.6,9.5,31.3028,25.6,26.1,26.9,948,957,954,957,77,80,80,79,0.081223629,0.083594566,0.083857442,0.082549634,0.685933544,0.702194357,0.721174004,0.784221526,2.542527004,2.140020899,2.188679245,2.220585162
Belgium,48.7564,50.1,49.4,42.8,36.7256,29,33.6,28.9,1678,1715,1683,1724,183,236,248,242,0.109058403,0.137609329,0.147355912,0.14037123,5.317295113,6.894227405,7.279382056,6.007888631,4.00523528,3.990670554,4.951158645,4.056728538
Bulgaria,11.2744,37,22.3,22.1,37.2221,72.4,45.6,41.5,393,393,375,400,43,47,46,52,0.109414758,0.119592875,0.122666667,0.13,1.233585751,4.424936387,2.735466667,2.873,4.072647074,8.658524173,5.5936,5.395
Croatia,26.6432,30,22.3,17.8,56.0832,33.9,23.7,19.7,273,286,296,293,35,38,39,39,0.128205128,0.132867133,0.131756757,0.133105802,3.415794872,3.986013986,2.938175676,2.369283276,7.190153846,4.504195804,3.122635135,2.6221843
Cyprus,31.32,75.6,81.1,83,151.119,180.7,173.5,155.2,107,102,107,115,15,13,13,13,0.140186916,0.12745098,0.121495327,0.113043478,4.390654206,9.635294118,9.853271028,9.382608696,21.18490654,23.03039216,21.07943925,17.54434783
Czech Republic,18.6825,15.9,17.3,17.6,28.3815,21.3,18.8,16.1,703,705,693,705,118,127,129,127,0.167852063,0.180141844,0.186147186,0.180141844,3.135896159,2.864255319,3.22034632,3.170496454,4.763893314,3.837021277,3.4995671,2.900283688
Denmark,11.492,11.2,11.9,11.5,12.9064,11.2,7.9,6.6,2415,2420,2398,2447,118,123,132,124,0.048861284,0.050826446,0.055045872,0.050674295,0.561513872,0.569256198,0.655045872,0.582754393,0.630623271,0.569256198,0.434862385,0.334450347
Estonia ,21.284,32,21.7,18.3,14.96,15.2,14,11.2,144,113,111,114,20,2,3,3,0.138888889,0.017699115,0.027027027,0.026315789,2.956111111,0.566371681,0.586486486,0.481578947,2.077777778,0.269026549,0.378378378,0.294736842
Finland,9.9681,8.4,8.8,8.9,5.0621,3.9,4.5,4.5,509,521,507,497,68,73,77,82,0.133595285,0.140115163,0.151873767,0.16498994,1.331691159,1.17696737,1.336489152,1.468410463,0.676272692,0.546449136,0.683431953,0.742454728
France,12.947,10,9.3,9,43.121,25.9,26.8,25.3,7120,7143,7039,7107,1134,1145,1125,1129,0.159269663,0.160296794,0.159823839,0.158857464,2.062064326,1.602967941,1.486361699,1.42971718,6.867867135,4.151686966,4.283278875,4.019093851
Germany,57.3312,35.4,34.5,34.9,41.5054,23.3,23.1,22.2,8749,8734,8609,8518,1071,1071,1052,1049,0.12241399,0.122624227,0.1221977,0.123150974,7.018140953,4.340897641,4.215820653,4.297969007,5.080841628,2.857144493,2.822766872,2.733951632
Greece,,13.7,18.6,15,,25.4,47.7,48.9,,1258,1243,1244,,128,129,137,,0.101748808,0.103781175,0.110128617,,1.393958665,1.930329847,1.65192926,,2.584419714,4.950362027,5.385289389
Hungary,38.2338,49,46.7,49.2,105.8188,76.7,77.7,72.5,779,832,771,832,171,193,190,199,0.219512195,0.231971154,0.246433204,0.239182692,8.392785366,11.36658654,11.50843061,11.76778846,23.22851707,17.7921875,19.14785992,17.34074519
Ireland,8.976,10.5,9.7,11,20.832,21,19.6,18.3,1866,1963,2114,2142,76,91,96,97,0.040728832,0.046357616,0.045411542,0.045284781,0.365581994,0.486754967,0.440491958,0.498132586,0.848463023,0.973509934,0.890066225,0.828711485
Italy,116.2477,71.6,70.3,68.7,97.5329,94.5,78.9,72.6,3977,4116,3864,3819,702,755,734,714,0.176514961,0.183430515,0.189958592,0.186959937,20.51945823,13.13362488,13.35408903,12.84414768,17.21601604,17.33418367,14.98773292,13.57329144
Latvia,10.0191,8.8,8.5,9,9.7989,7.7,8.3,9.4,173,180,176,167,19,19,21,21,0.10982659,0.105555556,0.119318182,0.125748503,1.100363584,0.928888889,1.014204545,1.131736527,1.076179769,0.812777778,0.990340909,1.182035928
Luxembourg,6.9939,6.6,6.8,6,15.7056,13.5,13.6,12.8,52,55,55,55,0,0.1,0.1,0.1,0,0.001818182,0.001818182,0.001818182,0,0.012,0.012363636,0.010909091,0,0.024545455,0.024727273,0.023272727
