Country,ampusage_2015,ampusage_2016,ampusage_2017,ampusage_2018,ampusage_2019,tetusage_2015,tetusage_2016,tetusage_2017,tetusage_2018,tetusage_2019,total_PCU_2015,total_PCU_2016,total_PCU_2017,total_PCU_2018,total_PCU_2019,pig_PCU_2015,pig_PCU_2016,pig_PCU_2017,pig_PCU_2018,pig_PCU_2019,scale_factor_pig_2015,scale_factor_pig_2016,scale_factor_pig_2017,scale_factor_pig_2018,scale_factor_pig_2019,scale_ampusage_2015,scale_ampusage_2016,scale_ampusage_2017,scale_ampusage_2018,scale_ampusage_2019,scale_tetusage_2015,scale_tetusage_2016,scale_tetusage_2017,scale_tetusage_2018,scale_tetusage_2019
Austria,8.5,8.4,8.6,9.5,,27.7,25.6,26.1,26.9,,957,957,954,957,,374,369,364,361,,0.390804598,0.385579937,0.381551363,0.377220481,,3.32183908,3.238871473,3.281341719,3.583594566,,10.82528736,9.870846395,9.958490566,10.14723093,
Belgium,46.3,50.1,49.4,42.8,,34.8,29,33.6,28.9,,1719,1715,1683,1724,,905,882,842,858,,0.526468877,0.514285714,0.500297089,0.497679814,,24.37550902,25.76571429,24.71467617,21.30069606,,18.32111693,14.91428571,16.80998217,14.38294664,
Bulgaria,15.5,37,22.3,22.1,,60.2,72.4,45.6,41.5,,380,393,375,400,,73,83,84,94,,0.192105263,0.211195929,0.224,0.235,,2.977631579,7.814249364,4.9952,5.1935,,11.56473684,15.29058524,10.2144,9.7525,
Croatia,21.5,30,22.3,17.8,,41.4,33.9,23.7,19.7,,274,286,296,293,,81,90,88,87,,0.295620438,0.314685315,0.297297297,0.296928328,,6.355839416,9.440559441,6.62972973,5.285324232,,12.23868613,10.66783217,7.045945946,5.849488055,
Cyprus,45.4,75.6,81.1,83,,183.3,180.7,173.5,155.2,,108,102,107,115,,46,45,45,45,,0.425925926,0.441176471,0.420560748,0.391304348,,19.33703704,33.35294118,34.10747664,32.47826087,,78.07222222,79.72058824,72.96728972,60.73043478,
Czech Republic,17.3,15.9,17.3,127.6,,24.1,21.3,18.8,16.1,,698,705,693,705,,202,205,198,203,,0.289398281,0.290780142,0.285714286,0.287943262,,5.006590258,4.623404255,4.942857143,36.74156028,,6.974498567,6.193617021,5.371428571,4.635886525,
Denmark,11.8,11.2,11.9,11.5,,11.8,11.2,7.9,6.6,,2415,2420,2398,2447,,1784,1773,1752,1803,,0.738716356,0.732644628,0.730608841,0.736820597,,8.716853002,8.205619835,8.694245204,8.473436861,,8.716853002,8.205619835,5.771809842,4.863015938,
Estonia ,28.7,32,21.7,18.3,,15.6,15.2,14,11.2,,123,113,111,114,,45,38,37,40,,0.365853659,0.336283186,0.333333333,0.350877193,,10.5,10.76106195,7.233333333,6.421052632,,5.707317073,5.111504425,4.666666667,3.929824561,
Finland,9.6,8.4,8.8,8.9,,4.3,3.9,4.5,4.5,,519,521,507,497,,165,166,154,142,,0.317919075,0.318618042,0.303747535,0.285714286,,3.052023121,2.676391555,2.672978304,2.542857143,,1.367052023,1.242610365,1.366863905,1.285714286,
France,8.3,10,9.3,9,,26.2,25.9,26.8,25.3,,7147,7143,7039,7107,,1817,1815,1782,1804,,0.254232545,0.254094918,0.25316096,0.253834248,,2.110130125,2.540949181,2.354396931,2.284508231,,6.660892682,6.581058379,6.784713738,6.422006472,
Germany,38.8,35.4,34.5,34.9,,26.8,23.3,23.1,22.2,,8690,8734,8609,8518,,3901,3807,3749,3712,,0.448906789,0.435882757,0.435474503,0.435783048,,17.41758343,15.4302496,15.02387037,15.20882836,,12.03070196,10.15606824,10.05946103,9.674383658,
Greece,11.4,13.7,18.6,15,,23.9,25.4,47.7,48.9,,1268,1258,1243,1244,,130,116,112,107,,0.102523659,0.092209857,0.090104586,0.086012862,,1.168769716,1.26327504,1.675945294,1.290192926,,2.450315457,2.342130366,4.297988737,4.206028939,
Hungary,46.9,49,46.7,49.2,,97.7,76.7,77.7,72.5,,833,832,771,832,,333,346,307,336,,0.399759904,0.415865385,0.398184176,0.403846154,,18.7487395,20.37740385,18.59520104,19.86923077,,39.05654262,31.896875,30.93891051,29.27884615,
Ireland,10,10.5,9.7,11,,21.7,21,19.6,18.3,,1892,1963,2114,2142,,276,276,281,286,,0.145877378,0.140601121,0.132923368,0.133520075,,1.458773784,1.476311768,1.28935667,1.468720822,,3.165539112,2.952623535,2.605298013,2.443417367,
Italy,87.3,71.6,70.3,68.7,,93,94.5,78.9,72.6,,4038,4116,3864,3819,,828,847,813,808,,0.205052006,0.205782313,0.210403727,0.21157371,,17.90104012,14.73401361,14.79138199,14.5351139,,19.06983655,19.44642857,16.60085404,15.36025137,
Latvia,10.5,8.8,8.5,9,,10.9,7.7,8.3,9.4,,180,180,176,167,,40,37,40,40,,0.222222222,0.205555556,0.227272727,0.239520958,,2.333333333,1.808888889,1.931818182,2.155688623,,2.422222222,1.582777778,1.886363636,2.251497006,
Luxembourg,6.8,6.6,6.8,6,,12.3,13.5,13.6,12.8,,53,55,55,55,,11,12,11,11,,0.20754717,0.218181818,0.2,0.2,,1.411320755,1.44,1.36,1.2,,2.552830189,2.945454545,2.72,2.56,
Malta,,,0.2,7.9,,,,0.2,39,,,,15,14,,,,4,4,,,,0.266666667,0.285714286,,,,0.053333333,2.257142857,,,,0.053333333,11.14285714,
Netherlands,13.3,11,12.6,13.2,,27,19.8,22.3,21.7,,3318,3446,3341,3201,,1661,1685,1616,1607,,0.500602773,0.488972722,0.483687519,0.502030615,,6.658016878,5.378699942,6.094462736,6.626804124,,13.51627486,9.681659896,10.78623167,10.89406435,
Poland,44.5,36.7,54.1,55.2,,42.9,41.5,47.9,47.3,,4193,4407,4539,4673,,1412,1453,1472,1468,,0.336751729,0.329702746,0.324300507,0.314145089,,14.98545194,12.10009076,17.54465741,17.3408089,,14.44664918,13.68266394,15.53399427,14.8590627,
Portugal,25.1,46.3,35.1,36.5,,47.4,83.9,44.9,63.7,,997,1014,1002,1028,,344,359,344,344,,0.345035105,0.354043393,0.343313373,0.33463035,,8.660381143,16.39220907,12.0502994,12.21400778,,16.35466399,29.70424063,15.41477046,21.31595331,
Romania,17.7,15.1,18.2,12.5,,26.9,25.2,25.1,25,,2559,3116,2916,2788,,337,553,477,484,,0.131692067,0.177471117,0.163580247,0.173601148,,2.33094959,2.679813864,2.977160494,2.170014347,,3.542516608,4.472272144,4.105864198,4.340028694,
Slovakia,8.2,8.7,11.4,9.2,,15,15.9,18.5,19.3,,246,242,225,247,,61,55,46,64,,0.24796748,0.227272727,0.204444444,0.259109312,,2.033333333,1.977272727,2.330666667,2.383805668,,3.719512195,3.613636364,3.782222222,5.000809717,
Slovenia,11.7,16.5,22.2,27.7,,2.6,2.6,4.3,4.2,,173,178,184,180,,19,19,18,18,,0.10982659,0.106741573,0.097826087,0.1,,1.284971098,1.761235955,2.17173913,2.77,,0.285549133,0.27752809,0.420652174,0.42,
Spain,92.6,92.4,58.5,68.7,,134.9,117.5,63.1,62.3,,7352,7518,7684,7865,,3660,3738,3902,4024,,0.497823721,0.497206704,0.507808433,0.511633821,,46.09847661,45.94189944,29.70679334,35.14924348,,67.15642002,58.42178771,32.04271213,31.87478703,
Sweden,7.5,7.8,7.7,8,,0.8,0.6,0.6,0.7,,808,805,804,783,,200,198,201,198,,0.247524752,0.245962733,0.25,0.252873563,,1.856435644,1.918509317,1.925,2.022988506,,0.198019802,0.14757764,0.15,0.177011494,
United Kingdom,10,9.4,7.5,7,,23.8,16.2,13.2,11.9,,6961,7142,7202,7216,,770,789,766,781,,0.110616291,0.110473257,0.106359345,0.108231707,,1.106162908,1.038448614,0.797695085,0.757621951,,2.63266772,1.78966676,1.403943349,1.287957317,
Iceland ,3.3,3.7,3.3,3.6,,0.4,0.2,0.3,0.3,,116,120,125,116,,6,6,6,6,,0.051724138,0.05,0.048,0.051724138,,0.170689655,0.185,0.1584,0.186206897,,0.020689655,0.01,0.0144,0.015517241,
Norway,1.6,1.6,1.6,1.5,,0.1,0.1,0.1,0.1,,1912,1896,1861,1928,,126,130,129,133,,0.065899582,0.068565401,0.069317571,0.068983402,,0.105439331,0.109704641,0.110908114,0.103475104,,0.006589958,0.00685654,0.006931757,0.00689834,
